"GEO_ID","id"
"S1810_C01_014M","Total!!Margin of Error!!AGE!!5 to 17 years"
"S1810_C01_015E","Total!!Estimate!!AGE!!18 to 34 years"
"S1810_C01_015M","Total!!Margin of Error!!AGE!!18 to 34 years"
"S1810_C01_016E","Total!!Estimate!!AGE!!35 to 64 years"
"S1810_C01_016M","Total!!Margin of Error!!AGE!!35 to 64 years"
"S1810_C01_017E","Total!!Estimate!!AGE!!65 to 74 years"
"S1810_C01_017M","Total!!Margin of Error!!AGE!!65 to 74 years"
"S1810_C01_018E","Total!!Estimate!!AGE!!75 years and over"
"S1810_C01_018M","Total!!Margin of Error!!AGE!!75 years and over"
"S1810_C01_019E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty"
"S1810_C01_019M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty"
"S1810_C01_020E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years"
"S1810_C01_020M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years"
"S1810_C01_021E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population under 5 years"
"S1810_C01_021M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population under 5 years"
"S1810_C01_022E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population 5 to 17 years"
"S1810_C01_022M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population 5 to 17 years"
"S1810_C01_023E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years"
"S1810_C01_023M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years"
"S1810_C01_024E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_024M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_025E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_025M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_026E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over"
"S1810_C01_026M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over"
"S1810_C01_027E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_027M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_028E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_028M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_029E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty"
"S1810_C01_029M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty"
"S1810_C01_030E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years"
"S1810_C01_030M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years"
"S1810_C01_031E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population under 5 years"
"S1810_C01_031M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population under 5 years"
"S1810_C01_032E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population 5 to 17 years"
"S1810_C01_032M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population 5 to 17 years"
"S1810_C01_033E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years"
"S1810_C01_033M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years"
"S1810_C01_034E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_034M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_035E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_035M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_036E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over"
"S1810_C01_036M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over"
"S1810_C01_037E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_037M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_038E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_038M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_039E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty"
"S1810_C01_039M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty"
"S1810_C01_040E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population under 18 years"
"S1810_C01_040M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population under 18 years"
"S1810_C01_041E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years"
"S1810_C01_041M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years"
"S1810_C01_042E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_042M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_043E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_043M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_044E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over"
"S1810_C01_044M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over"
"S1810_C01_045E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_045M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_046E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_046M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_047E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty"
"S1810_C01_047M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty"
"S1810_C01_048E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population under 18 years"
"S1810_C01_048M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population under 18 years"
"S1810_C01_049E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years"
"S1810_C01_049M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years"
"S1810_C01_050E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_050M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_051E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_051M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_052E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over"
"S1810_C01_052M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over"
"S1810_C01_053E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_053M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_054E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_054M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_055E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty"
"S1810_C01_055M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty"
"S1810_C01_056E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population under 18 years"
"S1810_C01_056M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population under 18 years"
"S1810_C01_057E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years"
"S1810_C01_057M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years"
"S1810_C01_058E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_058M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_059E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_059M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_060E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over"
"S1810_C01_060M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over"
"S1810_C01_061E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_061M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_062E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_062M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_063E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty"
"S1810_C01_063M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty"
"S1810_C01_064E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years"
"S1810_C01_064M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years"
"S1810_C01_065E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_065M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C01_066E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_066M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C01_067E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over"
"S1810_C01_067M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over"
"S1810_C01_068E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_068M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C01_069E","Total!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C01_069M","Total!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C02_001E","With a disability!!Estimate!!Total civilian noninstitutionalized population"
"S1810_C02_001M","With a disability!!Margin of Error!!Total civilian noninstitutionalized population"
"S1810_C02_002E","With a disability!!Estimate!!SEX!!Male"
"S1810_C02_002M","With a disability!!Margin of Error!!SEX!!Male"
"S1810_C02_003E","With a disability!!Estimate!!SEX!!Female"
"S1810_C02_003M","With a disability!!Margin of Error!!SEX!!Female"
"S1810_C02_004E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1810_C02_004M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1810_C02_005E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1810_C02_005M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1810_C02_006E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1810_C02_006M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1810_C02_007E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1810_C02_007M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1810_C02_008E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C02_008M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1810_C02_009E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1810_C02_009M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1810_C02_010E","With a disability!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C02_010M","With a disability!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1810_C02_011E","With a disability!!Estimate!!White alone, not Hispanic or Latino"
"S1810_C02_011M","With a disability!!Margin of Error!!White alone, not Hispanic or Latino"
"S1810_C02_012E","With a disability!!Estimate!!Hispanic or Latino (of any race)"
"S1810_C02_012M","With a disability!!Margin of Error!!Hispanic or Latino (of any race)"
"S1810_C02_013E","With a disability!!Estimate!!AGE!!Under 5 years"
"S1810_C02_013M","With a disability!!Margin of Error!!AGE!!Under 5 years"
"S1810_C02_014E","With a disability!!Estimate!!AGE!!5 to 17 years"
"S1810_C02_014M","With a disability!!Margin of Error!!AGE!!5 to 17 years"
"S1810_C02_015E","With a disability!!Estimate!!AGE!!18 to 34 years"
"S1810_C02_015M","With a disability!!Margin of Error!!AGE!!18 to 34 years"
"S1810_C02_016E","With a disability!!Estimate!!AGE!!35 to 64 years"
"S1810_C02_016M","With a disability!!Margin of Error!!AGE!!35 to 64 years"
"S1810_C02_017E","With a disability!!Estimate!!AGE!!65 to 74 years"
"S1810_C02_017M","With a disability!!Margin of Error!!AGE!!65 to 74 years"
"S1810_C02_018E","With a disability!!Estimate!!AGE!!75 years and over"
"S1810_C02_018M","With a disability!!Margin of Error!!AGE!!75 years and over"
"S1810_C02_019E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty"
"S1810_C02_019M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty"
"S1810_C02_020E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years"
"S1810_C02_020M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years"
"S1810_C02_021E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population under 5 years"
"S1810_C02_021M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population under 5 years"
"S1810_C02_022E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population 5 to 17 years"
"S1810_C02_022M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population 5 to 17 years"
"S1810_C02_023E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years"
"S1810_C02_023M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years"
"S1810_C02_024E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C02_024M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C02_025E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C02_025M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C02_026E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over"
"S1810_C02_026M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over"
"S1810_C02_027E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C02_027M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C02_028E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C02_028M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C02_029E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty"
"S1810_C02_029M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty"
"S1810_C02_030E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years"
"S1810_C02_030M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years"
"S1810_C02_031E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population under 5 years"
"S1810_C02_031M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population under 5 years"
"S1810_C02_032E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population 5 to 17 years"
"S1810_C02_032M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population 5 to 17 years"
"S1810_C02_033E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years"
"S1810_C02_033M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years"
"S1810_C02_034E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C02_034M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C02_035E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C02_035M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 35 to 64 years"
"S1810_C02_036E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over"
"S1810_C02_036M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over"
"S1810_C02_037E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C02_037M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 65 to 74 years"
"S1810_C02_038E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C02_038M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 75 years and over"
"S1810_C02_039E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty"
"S1810_C02_039M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty"
"S1810_C02_040E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population under 18 years"
"S1810_C02_040M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population under 18 years"
"S1810_C02_041E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years"
"S1810_C02_041M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years"
"S1810_C02_042E","With a disability!!Estimate!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
"S1810_C02_042M","With a disability!!Margin of Error!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 18 to 34 years"
